,Variety,Country,Province,Region,Subregion,count
0,"Aglianico, Italian Red",Italy,Italy Other,Vino Spumante,none,5
2,"Aglianico, Italian Red",Italy,Southern Italy,Aglianico del Taburno,none,13
3,"Aglianico, Italian Red",Italy,Southern Italy,Aglianico del Vulture,none,68
4,"Aglianico, Italian Red",Italy,Southern Italy,Basilicata,none,2
5,"Aglianico, Italian Red",Italy,Southern Italy,Beneventano,none,2
6,"Aglianico, Italian Red",Italy,Southern Italy,Campania,none,30
7,"Aglianico, Italian Red",Italy,Southern Italy,Castel del Monte,none,4
9,"Aglianico, Italian Red",Italy,Southern Italy,Falerno del Massico,none,3
10,"Aglianico, Italian Red",Italy,Southern Italy,Irpinia,none,60
11,"Aglianico, Italian Red",Italy,Southern Italy,Molise,none,2
13,"Aglianico, Italian Red",Italy,Southern Italy,Puglia,none,6
15,"Aglianico, Italian Red",Italy,Southern Italy,Sannio,none,14
17,"Aglianico, Italian Red",Italy,Southern Italy,Taurasi,none,124
19,"Aglianico, Italian Red",US,California,Central Coast,Paso Robles,5
22,"Aglianico, Italian Red",US,California,Lake County,none,2
26,"Aglianico, Italian Red",US,California,Sierra Foothills,Amador County,5
29,"Aglianico, Italian Red",US,California,Sierra Foothills,Sierra Foothills,2
36,"Albana, Italian White",Italy,Central Italy,Romagna,none,13
42,"Alicante, Grenache",Italy,Sicily & Sardinia,Menfi,none,2
44,"Alicante, Grenache",Italy,Tuscany,Toscana,none,2
45,"Alsace white blend, White Blend",France,Alsace,Alsace,none,107
46,"Alvarinho-Chardonnay, White Blend",Portugal,Lisboa,none,none,6
48,"Aragonez, Tempranillo",Portugal,Alentejano,none,none,28
49,"Aragonez, Tempranillo",Portugal,Alentejo,none,none,2
51,"Aragonez, Tempranillo",Portugal,Lisboa,none,none,2
52,"Aragonez, Tempranillo",Portugal,PenÃ­nsula de SetÃºbal,none,none,2
53,"Arinto-Chardonnay, White Blend",Portugal,Tejo,none,none,2
54,"Arneis, Italian White",Italy,Italy Other,Vino Spumante,none,2
55,"Arneis, Italian White",Italy,Piedmont,Langhe,none,4
56,"Arneis, Italian White",Italy,Piedmont,Roero,none,42
59,"Arneis, Italian White",US,California,Mendocino County,Mendocino,2
60,"Arneis, Italian White",US,California,Mendocino County,Mendocino County,3
67,"Austrian Red Blend, Red Blends",Austria,Austria,none,none,2
68,"Austrian Red Blend, Red Blends",Austria,Burgenland,none,none,77
69,"Austrian Red Blend, Red Blends",Austria,Carnuntum,none,none,6
70,"Austrian Red Blend, Red Blends",Austria,NiederÃ¶sterreich,none,none,10
71,"Austrian Red Blend, Red Blends",Austria,Steiermark,none,none,2
72,"Austrian Red Blend, Red Blends",Austria,Thermenregion,none,none,3
74,"Austrian Red Blend, Red Blends",Austria,Weinland Ãsterreich,none,none,3
77,"Austrian white blend, White Blend",Austria,Burgenland,none,none,37
79,"Austrian white blend, White Blend",Austria,NiederÃ¶sterreich,none,none,17
80,"Austrian white blend, White Blend",Austria,Steiermark,none,none,3
81,"Austrian white blend, White Blend",Austria,SÃ¼doststeiermark,none,none,3
82,"Austrian white blend, White Blend",Austria,Thermenregion,none,none,15
83,"Austrian white blend, White Blend",Austria,Vienna,none,none,15
84,"Austrian white blend, White Blend",Austria,Vulkanland Steiermark,none,none,2
88,"Austrian white blend, White Blend",Austria,Wiener Gemischter Satz,none,none,32
89,"Austrian white blend, White Blend",Austria,Ãsterreichischer Sekt,none,none,3
94,"Bombino Bianco, Italian White",Italy,Southern Italy,Castel del Monte,none,2
95,Bordeaux-style Red Blend,Argentina,Mendoza Province,Agrelo,none,4
98,Bordeaux-style Red Blend,Argentina,Mendoza Province,LujÃ¡n de Cuyo,none,20
99,Bordeaux-style Red Blend,Argentina,Mendoza Province,Mendoza,none,216
100,Bordeaux-style Red Blend,Argentina,Mendoza Province,Tupungato,none,20
101,Bordeaux-style Red Blend,Argentina,Mendoza Province,Uco Valley,none,36
102,Bordeaux-style Red Blend,Argentina,Mendoza Province,Vista Flores,none,3
103,Bordeaux-style Red Blend,Argentina,Mendoza Province,none,none,3
105,Bordeaux-style Red Blend,Argentina,Other,Argentina,none,3
106,Bordeaux-style Red Blend,Argentina,Other,Cafayate,none,6
107,Bordeaux-style Red Blend,Argentina,Other,CalchaquÃ­ Valley,none,3
110,Bordeaux-style Red Blend,Argentina,Other,Patagonia,none,5
111,Bordeaux-style Red Blend,Argentina,Other,Salta,none,6
112,Bordeaux-style Red Blend,Argentina,Other,San Juan,none,2
113,Bordeaux-style Red Blend,Australia,Australia Other,South Eastern Australia,none,23
118,Bordeaux-style Red Blend,Australia,South Australia,Adelaide,none,2
120,Bordeaux-style Red Blend,Australia,South Australia,Barossa,none,4
121,Bordeaux-style Red Blend,Australia,South Australia,Barossa Valley,none,7
122,Bordeaux-style Red Blend,Australia,South Australia,Clare Valley,none,2
